"date","ET0","RAD","TMX","TMA","TMN","HMX","HMN","PRE","WIN"
2001-05-26,1.77,13.21,11.3,6.02,2.06,85.55,45.23,2.38,0.77
2001-06-02,1.95,12.07,11.43,6.26,1.36,75.56,38.34,2.44,1.1
2001-06-09,1.23,12.06,6.87,2.64,-1.76,82.66,44.96,2.95,1.38
2001-06-16,1.57,12.82,7.9,1.93,-2.95,82.57,35.06,2.94,1.11
2001-06-23,1.76,17.96,9.14,2.98,-2.36,72.99,30.51,-0.64,1.04
2001-06-30,1.83,12.71,11.42,5.41,1.41,87.71,38.1,3.3,0.89
2001-07-07,1.78,14.99,10.12,4.54,-0.12,85.26,42.05,1.77,1.15
2001-07-14,1.43,7.81,9.16,4.6,1.02,87.95,53.83,2.76,0.96
2001-07-21,1.16,8.24,5.66,1.45,-2.71,79.27,52.78,3.93,0.97
2001-07-28,2,12.85,12.24,5.63,1.24,84.73,35.82,2.29,0.78
2001-08-04,1.83,12.29,11.83,6.65,2.6,83.61,45.26,1.33,0.95
2001-08-11,1.52,10.69,8.63,3.17,-1.09,86.24,48.75,2.02,0.92
2001-08-18,2.14,14.26,13.1,6.49,1.48,81.5,37.62,2.79,0.85
2001-08-25,1.99,13.68,12.52,6.27,1.6,82.84,36.71,1.11,0.76
2001-09-01,1.85,12.01,11.52,5.75,1.18,85.17,39.11,3.31,0.84
2001-09-08,1.5,12.36,7.07,2.11,-2.85,79.38,37.98,2.51,1.22
2001-09-15,1.25,9.76,3.94,-0.92,-5.52,76.24,45.85,3.24,1.2
2001-09-22,1.21,9.13,4.71,0.28,-3.49,87.73,52.3,3.05,0.86
2001-09-29,1.46,9.01,8.22,3.77,-0.06,89.61,56.7,4.01,0.83
2001-10-06,1.8,13.81,11.65,6.18,1.34,87.26,48.87,2.19,0.81
2001-10-13,2.03,14.68,15.57,9.08,4,77.39,34.76,0.45,0.79
2001-10-20,1.86,12.48,13.93,8.44,3.68,90.62,48.69,3.28,1
2001-10-27,1.69,13.73,10.68,4.54,0.08,90.74,38.47,0.2,0.85
2001-11-03,1.89,14.65,13.92,6.62,1.04,68.2,18.94,-0.28,1.02
